# x	y	u	v	flags	mask
6.6824e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
6.8706e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
7.0588e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
7.2471e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
7.4353e+01	5.3647e+01	nan	nan	1.0000e+00	0.0000e+00
9.4118e-01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
2.8235e+00	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
4.7059e+00	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
6.5882e+00	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
8.4706e+00	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
1.0353e+01	5.1765e+01	5.0797e-08	-3.3653e-01	0.0000e+00	0.0000e+00
1.2235e+01	5.1765e+01	3.4021e-01	5.9432e+00	0.0000e+00	0.0000e+00
1.4118e+01	5.1765e+01	2.7997e+00	1.5355e+00	0.0000e+00	0.0000e+00
1.6000e+01	5.1765e+01	1.8900e+00	3.5558e+00	0.0000e+00	0.0000e+00
1.7882e+01	5.1765e+01	2.2058e+00	-5.3275e-01	0.0000e+00	0.0000e+00
1.9765e+01	5.1765e+01	3.1899e+00	9.7550e-01	0.0000e+00	0.0000e+00
2.1647e+01	5.1765e+01	9.5447e+00	2.9114e+00	0.0000e+00	0.0000e+00
2.3529e+01	5.1765e+01	8.5055e+00	3.9206e+00	0.0000e+00	0.0000e+00
2.5412e+01	5.1765e+01	5.4546e+00	6.1597e+00	0.0000e+00	0.0000e+00
2.7294e+01	5.1765e+01	6.6518e+00	7.2201e+00	0.0000e+00	0.0000e+00
2.9176e+01	5.1765e+01	6.3601e-01	1.9431e+01	0.0000e+00	0.0000e+00
3.1059e+01	5.1765e+01	3.9213e+00	1.2486e+01	0.0000e+00	0.0000e+00
3.2941e+01	5.1765e+01	-1.1993e-01	9.5691e+00	0.0000e+00	0.0000e+00
3.4824e+01	5.1765e+01	1.3450e+00	9.6272e+00	0.0000e+00	0.0000e+00
3.6706e+01	5.1765e+01	2.0047e+00	2.9214e+01	0.0000e+00	0.0000e+00
3.8588e+01	5.1765e+01	1.6478e+00	1.7818e+01	0.0000e+00	0.0000e+00
4.0471e+01	5.1765e+01	1.0324e+00	1.3190e+01	0.0000e+00	0.0000e+00
4.2353e+01	5.1765e+01	1.2506e-01	7.4384e+00	0.0000e+00	0.0000e+00
4.4235e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
4.6118e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
4.8000e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
4.9882e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
5.1765e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
5.3647e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
5.5529e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
5.7412e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
5.9294e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
6.1176e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
6.3059e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
6.4941e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
6.6824e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
6.8706e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
7.0588e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
7.2471e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
7.4353e+01	5.1765e+01	nan	nan	1.0000e+00	0.0000e+00
9.4118e-01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
2.8235e+00	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
4.7059e+00	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
6.5882e+00	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
8.4706e+00	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
1.0353e+01	4.9882e+01	-3.9239e-08	-2.0108e-01	0.0000e+00	0.0000e+00
1.2235e+01	4.9882e+01	-4.5911e-02	6.4113e+00	0.0000e+00	0.0000e+00
1.4118e+01	4.9882e+01	5.3385e+00	3.3427e+00	0.0000e+00	0.0000e+00
1.6000e+01	4.9882e+01	4.6621e+00	4.5875e+00	0.0000e+00	0.0000e+00
1.7882e+01	4.9882e+01	4.5262e+00	4.7978e+00	0.0000e+00	0.0000e+00
1.9765e+01	4.9882e+01	4.3350e+00	3.7452e+00	0.0000e+00	0.0000e+00
2.1647e+01	4.9882e+01	8.2136e+00	5.7642e+00	0.0000e+00	0.0000e+00
2.3529e+01	4.9882e+01	4.7774e+00	4.4484e+00	0.0000e+00	0.0000e+00
2.5412e+01	4.9882e+01	1.3083e+01	5.6023e+00	0.0000e+00	0.0000e+00
2.7294e+01	4.9882e+01	5.7002e+00	3.6669e+00	0.0000e+00	0.0000e+00
2.9176e+01	4.9882e+01	5.5111e+00	1.3820e+01	0.0000e+00	0.0000e+00
3.1059e+01	4.9882e+01	3.5828e+00	7.7514e+00	0.0000e+00	0.0000e+00
3.2941e+01	4.9882e+01	1.3143e+00	9.9996e+00	0.0000e+00	0.0000e+00
3.4824e+01	4.9882e+01	1.2363e-01	1.3849e+01	0.0000e+00	0.0000e+00
3.6706e+01	4.9882e+01	-1.1721e+00	1.2207e+01	0.0000e+00	0.0000e+00
3.8588e+01	4.9882e+01	-4.9410e-01	1.2609e+01	0.0000e+00	0.0000e+00
4.0471e+01	4.9882e+01	1.6865e-01	8.3961e+00	0.0000e+00	0.0000e+00
4.2353e+01	4.9882e+01	-1.2010e-01	3.5179e+00	0.0000e+00	0.0000e+00
4.4235e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
4.6118e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
4.8000e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
4.9882e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
5.1765e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
5.3647e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
5.5529e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
5.7412e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
5.9294e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
6.1176e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
6.3059e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
6.4941e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
6.6824e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
6.8706e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
7.0588e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
7.2471e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
7.4353e+01	4.9882e+01	nan	nan	1.0000e+00	0.0000e+00
9.4118e-01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
2.8235e+00	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
4.7059e+00	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
6.5882e+00	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
8.4706e+00	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
1.0353e+01	4.8000e+01	9.9981e-08	1.9054e+00	0.0000e+00	0.0000e+00
1.2235e+01	4.8000e+01	5.4078e-01	2.1067e+00	0.0000e+00	0.0000e+00
1.4118e+01	4.8000e+01	2.4246e+00	3.8888e+00	0.0000e+00	0.0000e+00
1.6000e+01	4.8000e+01	4.0899e+00	3.7374e+00	0.0000e+00	0.0000e+00
1.7882e+01	4.8000e+01	5.3789e+00	1.7973e+00	0.0000e+00	0.0000e+00
1.9765e+01	4.8000e+01	4.1514e+00	3.6208e+00	0.0000e+00	0.0000e+00
2.1647e+01	4.8000e+01	7.7687e+00	4.7063e+00	0.0000e+00	0.0000e+00
2.3529e+01	4.8000e+01	7.6696e+00	5.9635e+00	0.0000e+00	0.0000e+00
2.5412e+01	4.8000e+01	2.7677e+00	5.0922e+00	0.0000e+00	0.0000e+00
2.7294e+01	4.8000e+01	3.6983e+00	4.1895e+00	0.0000e+00	0.0000e+00
2.9176e+01	4.8000e+01	4.4035e+00	7.8906e+00	0.0000e+00	0.0000e+00
3.1059e+01	4.8000e+01	-1.9894e-01	2.7851e+01	0.0000e+00	0.0000e+00
3.2941e+01	4.8000e+01	1.5916e+00	2.1974e+01	0.0000e+00	0.0000e+00
3.4824e+01	4.8000e+01	6.9583e-01	1.1979e+01	0.0000e+00	0.0000e+00
3.6706e+01	4.8000e+01	7.4019e-01	1.3026e+01	0.0000e+00	0.0000e+00
3.8588e+01	4.8000e+01	9.6139e-01	8.5771e+00	0.0000e+00	0.0000e+00
4.0471e+01	4.8000e+01	-1.6132e+00	5.6297e+00	0.0000e+00	0.0000e+00
4.2353e+01	4.8000e+01	-9.9658e-01	3.2669e+00	0.0000e+00	0.0000e+00
4.4235e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
4.6118e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
4.8000e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
4.9882e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
5.1765e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
5.3647e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
5.5529e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
5.7412e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
5.9294e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
6.1176e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
6.3059e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
6.4941e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
6.6824e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
6.8706e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
7.0588e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
7.2471e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
7.4353e+01	4.8000e+01	nan	nan	1.0000e+00	0.0000e+00
9.4118e-01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
2.8235e+00	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
4.7059e+00	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
6.5882e+00	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
8.4706e+00	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
1.0353e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
1.2235e+01	4.6118e+01	1.8358e+00	1.0572e+01	0.0000e+00	0.0000e+00
1.4118e+01	4.6118e+01	2.9802e+00	4.8538e+00	0.0000e+00	0.0000e+00
1.6000e+01	4.6118e+01	3.1647e+00	4.9815e+00	0.0000e+00	0.0000e+00
1.7882e+01	4.6118e+01	3.7148e+00	3.0028e+00	0.0000e+00	0.0000e+00
1.9765e+01	4.6118e+01	1.3268e+00	3.1116e+00	0.0000e+00	0.0000e+00
2.1647e+01	4.6118e+01	8.1895e+00	5.5200e+00	0.0000e+00	0.0000e+00
2.3529e+01	4.6118e+01	9.6011e+00	3.2670e+00	0.0000e+00	0.0000e+00
2.5412e+01	4.6118e+01	9.9939e+00	6.5793e+00	0.0000e+00	0.0000e+00
2.7294e+01	4.6118e+01	5.2349e+00	1.5996e+00	0.0000e+00	0.0000e+00
2.9176e+01	4.6118e+01	6.8990e+00	7.3186e+00	0.0000e+00	0.0000e+00
3.1059e+01	4.6118e+01	5.9325e+00	1.3436e+01	0.0000e+00	0.0000e+00
3.2941e+01	4.6118e+01	3.6168e+00	8.4152e+00	0.0000e+00	0.0000e+00
3.4824e+01	4.6118e+01	-8.0546e-01	9.6794e+00	0.0000e+00	0.0000e+00
3.6706e+01	4.6118e+01	6.2184e+00	1.1640e+02	0.0000e+00	0.0000e+00
3.8588e+01	4.6118e+01	-2.9568e+00	1.4766e+01	0.0000e+00	0.0000e+00
4.0471e+01	4.6118e+01	-3.1568e+00	6.7036e+00	0.0000e+00	0.0000e+00
4.2353e+01	4.6118e+01	-2.7309e+00	9.5441e+00	0.0000e+00	0.0000e+00
4.4235e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
4.6118e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
4.8000e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
4.9882e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
5.1765e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
5.3647e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
5.5529e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
5.7412e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
5.9294e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
6.1176e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
6.3059e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
6.4941e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
6.6824e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
6.8706e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
7.0588e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
7.2471e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
7.4353e+01	4.6118e+01	nan	nan	1.0000e+00	0.0000e+00
9.4118e-01	4.4235e+01	nan	nan	1.0000e+00	0.0000e+00
2.8235e+00	4.4235e+01	nan	nan	1.0000e+00	0.0000e+00
4.7059e+00	4.4235e+01	nan	nan	1.0000e+00	0.0000e+00
6.5882e+00	4.4235e+01	nan	nan	1.0000e+00	0.0000e+00
8.4706e+00	4.4235e+01	nan	nan	1.0000e+00	0.0000e+00
1.0353e+01	4.4235e+01	nan	nan	1.0000e+00	0.0000e+00
1.2235e+01	4.4235e+01	1.5130e+00	7.6119e+00	0.0000e+00	0.0000e+00
